Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 Female,-0.023304,0.020811,0.976965441,0.937917244,1.017639,-0.447444,0.185814,0.956241866,0.922042516,0.99171,0.000507,0.002448,1.006510703,0.946555357,1.070264,-0.001964,0.002628,0.98731514,0.954806363,1.020931
Age 0-10 Male,0.028334,0.018483,1.028739226,0.992138385,1.06669,0.053821,0.167277,1.00539661,0.972967896,1.038906,0.003298,0.002212,1.043118099,0.986807538,1.102642,0.002018,0.002348,1.013203405,0.983343755,1.04397
Age 11-60 All,-0.002973,0.005278,0.997031415,0.986770411,1.007399,-0.030638,0.046393,0.996940889,0.987916768,1.006047,0.000668,0.000631,1.008587059,0.992746308,1.024681,-0.000454,0.000661,0.99705335,0.988692278,1.005485
Age 11-60 Female,-0.001662,0.006853,0.99833938,0.985019462,1.011839,-0.004599,0.060222,0.999540206,0.987811477,1.011408,0.001246,0.000818,1.016076661,0.995437257,1.037144,-0.000521,0.000859,0.996619228,0.985772028,1.007586
Age 11-60 Male,-0.004471,0.007194,0.99553898,0.981600143,1.009676,-0.05975,0.063273,0.994042815,0.98179131,1.006447,0.000021,0.000862,1.000268836,0.978869391,1.022136,-0.000381,0.000901,0.997526564,0.986141683,1.009043
Age 60+All,-0.000147,0.008208,0.999853011,0.983896392,1.016068,-0.060625,0.06957,0.99395584,0.980494522,1.007602,0.001052,0.00098,1.01355667,0.988940966,1.038785,-0.00056,0.001038,0.996366617,0.983277283,1.00963
Age 60+ Female,-0.000309,0.008617,0.999691048,0.982948727,1.016719,-0.033121,0.072996,0.996693379,0.982534997,1.011056,0.000708,0.00103,1.009103588,0.983361731,1.035519,-0.000486,0.001091,0.996845984,0.98308633,1.010798
Age 60+ Male,0.000166,0.009273,1.000166014,0.982152114,1.01851,-0.102153,0.078685,0.989836699,0.974688292,1.005221,0.001576,0.001104,1.020377646,0.992503885,1.049034,-0.000657,0.001171,0.995738606,0.980993898,1.010705
All: LAG 6,-0.011037,0.006007,0.989023684,0.977447478,1.000737,-0.079151,0.053174,0.992116142,0.9818299,1.00251,0.000848,0.000735,1.010913523,0.992443416,1.029727,-0.001517,0.000755,0.990187955,0.980709294,0.999758
Female,-0.013496,0.006542,0.986594663,0.974024989,0.999327,-0.055238,0.057901,0.994491428,0.983269146,1.005842,0.00048,0.000803,1.006162913,0.986095903,1.026638,-0.00196,0.000823,0.98734081,0.977042605,0.997748
Male,-0.007697,0.0066,0.992332546,0.979578404,1.005253,-0.110569,0.058433,0.989004003,0.977741687,1.000396,0.001335,0.000804,1.017234835,0.996921995,1.037962,-0.000918,0.000828,0.994050767,0.983619917,1.004592
